Latitude,Longitude,Bottom_Depth,Sample_Depth,Phosphate,Silicate,Nitrite,Nitrite_and_Nitrate,Cruise,Location,Type,Date,Time,Comments
-17.47503,-149.83707,17,1,0.14,1.68,0.29,0.71,LTER bi-annual,LTER 1 Forereef Water Column,Niskin bottle,1/14/2008,10:24,na
-17.47785,-149.84213,2,0.5,0.14,1.87,0.11,0.44,Additional nutrients,LTER 1 Backreef Water Column,Falcon tube,1/21/2008,10:30,several squalls/day for 4-5 days prior; rain in night but none for previous 8 hours
-17.48488,-149.83365,14,0.5,0.15,1.87,0.22,0.51,Additional nutrients,LTER 1 Fringing Reef Water Column,Falcon tube,1/21/2008,10:45,several squalls/day for 4-5 days prior; rain in night but none for previous 8 hours
-17.47503,-149.83707,17,1,0.17,0.58,0.11,0.34,LTER bi-annual,LTER 1 Forereef Water Column,Niskin bottle,8/23/2008,11:50,na
-17.47785,-149.84213,2,1,0.21,0.46,0.25,0.87,LTER bi-annual,LTER 1 Backreef Water Column,Niskin bottle,8/25/2008,10:30,na
-17.48488,-149.83365,14,1,0.22,0.53,0.14,0.76,LTER bi-annual,LTER 1 Fringing Reef Water Column,Niskin bottle,8/25/2008,8:00,na
-17.47785,-149.84213,2,0.5,0.22,1.4,0.19,0.55,Additional nutrients,LTER 1 Backreef Water Column,Falcon tube,9/2/2008,9:00,Very strong wind directly from east for previous 3 days- 20-25 kts; heavy chop in lagoon; Cooks Bay calm; L1 and L2 very; vry choppy
-17.48488,-149.83365,14,0.5,0.21,1.83,0.1,0.56,Additional nutrients,LTER 1 Fringing Reef Water Column,Falcon tube,9/2/2008,9:00,Very strong wind directly from east for previous 3 days- 20-25 kts; heavy chop in lagoon; Cooks Bay calm; L1 and L2 very; vry choppy
-17.47785,-149.84213,2,0.5,0.2,2.14,0.1,0.38,Additional nutrients,LTER 1 Backreef Water Column,Falcon tube,9/8/2008,9:00,na
-17.47785,-149.84213,2,0.5,0.24,1.63,0.03,0.16,Additional nutrients,LTER 1 Backreef Water Column,Falcon tube,12/5/2008,15:30,Raining - started 2 hours earlier
-17.48488,-149.83365,14,0.5,0.24,1.55,0.13,0.27,Additional nutrients,LTER 1 Fringing Reef Water Column,Falcon tube,12/5/2008,17:45,Raining- heavy 
-17.47503,-149.83707,17,0.5,0.23,1.44,0.17,0.29,Additional nutrients,LTER 1 Forereef Water Column,Falcon tube,12/6/2008,9:30,Cloudy with sun - rained several hours the afternoon before
-17.48488,-149.83365,14,0.5,0.25,0.98,0.1,0.43,Additional nutrients,LTER 1 Fringing Reef Water Column,Falcon tube,12/20/2008,14:20,Cloudy with sun - rained several hours the afternoon before
-17.47785,-149.84213,2,0.5,0.25,1,0.14,0.59,Additional nutrients,LTER 1 Backreef Water Column,Falcon tube,12/20/2008,14:13,Cloudy with sun - rained several hours the afternoon before
-17.47503,-149.83707,17,0.5,0.18,0.5,0.21,0.57,Additional nutrients,LTER 1 Forereef Water Column,Falcon tube,12/20/2008,14:00,Cloudy with sun - rained several hours the afternoon before
-17.47503,-149.83707,17,0.5,0.22,0.79,0.11,0.15,Additional nutrients,LTER 1 Forereef Water Column,Falcon tube,12/29/2008,13:40,Hot - no clouds - big swell
-17.47785,-149.84213,2,0.5,0.24,0.66,0.11,0.28,Additional nutrients,LTER 1 Backreef Water Column,Falcon tube,12/29/2008,13:50,Hot - no clouds - big swell
-17.48488,-149.83365,14,0.5,0.25,0.71,0.16,0.5,Additional nutrients,LTER 1 Fringing Reef Water Column,Falcon tube,12/29/2008,14:00,Hot - no clouds - big swell
-17.48488,-149.83365,14,0.5,0.26,1.33,0.19,0.64,Additional nutrients,LTER 1 Fringing Reef Water Column,Falcon tube,1/6/2009,0:00,na
-17.47785,-149.84213,2,0.5,0.23,0.35,0.16,0.37,Additional nutrients,LTER 1 Backreef Water Column,Falcon tube,1/6/2009,0:00,na
-17.47503,-149.83707,17,0.5,0.24,0.3,0.1,0.17,Additional nutrients,LTER 1 Forereef Water Column,Falcon tube,1/6/2009,0:00,na
-17.47785,-149.84213,2,1,0.24,0.5,0.09,0.52,LTER bi-annual,LTER 1 Backreef Water Column,Niskin bottle,1/11/2009,10:34,na
-17.48488,-149.83365,14,1,0.26,0.57,0.1,0.43,LTER bi-annual,LTER 1 Fringing Reef Water Column,Niskin bottle,1/11/2009,8:15,na
-17.47503,-149.83707,17,1,0.21,0.99,0.19,0.58,LTER bi-annual,LTER 1 Forereef Water Column,Niskin bottle,1/13/2009,10:11,na
-17.47503,-149.83707,17,0.5,0.23,1.07,0.17,0.42,Additional nutrients,LTER 1 Forereef Water Column,Falcon tube,1/19/2009,9:00,steady light rain; huge swells; 2-3 ft chop
-17.48488,-149.83365,14,0.5,0.24,1.13,0.25,0.7,Additional nutrients,LTER 1 Fringing Reef Water Column,Falcon tube,1/19/2009,10:00, rain for couple of days prior
-17.47785,-149.84213,2,0.5,0.24,1.15,0.11,0.38,Additional nutrients,LTER 1 Backreef Water Column,Falcon tube,1/20/2009,11:30,cloudy; light showers previous day
-17.47503,-149.83707,17,0.5,0.23,2.12,0.2,0.31,Additional nutrients,LTER 1 Forereef Water Column,Falcon tube,1/21/2009,8:35,calm and intermittant rain for several days with very high swell on NS
-17.48488,-149.83365,14,0.5,0.24,2.34,0.3,0.66,Additional nutrients,LTER 1 Fringing Reef Water Column,Falcon tube,1/21/2009,8:43,calm and intermittant rain for several days with very high swell on NS
-17.47785,-149.84213,2,0.5,0.22,1.95,0.11,0.11,Additional nutrients,LTER 1 Backreef Water Column,Falcon tube,1/21/2009,8:46,calm and intermittant rain for several days with very high swell on NS
-17.48488,-149.83365,14,0.5,0.15,0.9,0.08,1.17,Additional nutrients,LTER 1 Fringing Reef Water Column,Falcon tube,1/25/2009,14:30,na
-17.47785,-149.84213,2,0.5,0.18,0.84,0.06,1.18,Additional nutrients,LTER 1 Backreef Water Column,Falcon tube,2/1/2009,14:30,clear and sunny; light showers in morning
-17.48488,-149.83365,14,0.5,0.16,0.69,0.11,1,Additional nutrients,LTER 1 Fringing Reef Water Column,Falcon tube,2/1/2009,14:30,clear and sunny; light showers in morning
-17.47503,-149.83707,17,0.5,0.14,0.59,0.07,0.59,Additional nutrients,LTER 1 Forereef Water Column,Falcon tube,2/1/2009,14:30,clear and sunny; light showers in morning
-17.47785,-149.84213,2,0.5,0.18,0.75,0.04,0.89,Additional nutrients,LTER 1 Backreef Water Column,Falcon tube,4/2/2009,9:30,slight rain before sampling/cloudy
-17.48488,-149.83365,14,0.5,0.17,0.52,0.08,0.83,Additional nutrients,LTER 1 Fringing Reef Water Column,Falcon tube,4/2/2009,9:35,slight rain before sampling/cloudy
-17.47503,-149.83707,17,0.5,0.13,0.6,0.1,0.65,Additional nutrients,LTER 1 Forereef Water Column,Falcon tube,4/3/2009,15:30,very choppy; no rain
-17.47503,-149.83707,17,0.5,0.13,0.53,0.03,0.58,Additional nutrients,LTER 1 Forereef Water Column,Falcon tube,4/10/2009,9:15,clear;low swell; south wind night before
-17.47785,-149.84213,2,0.5,0.14,0.62,0.07,0.8,Additional nutrients,LTER 1 Backreef Water Column,Falcon tube,4/10/2009,9:27,clear;low swell; south wind night before
-17.48488,-149.83365,14,0.5,0.14,1.53,0.08,0.69,Additional nutrients,LTER 1 Fringing Reef Water Column,Falcon tube,4/10/2009,9:32,clear;low swell; south wind night before
-17.47503,-149.83707,17,0.5,0.12,0.34,0.04,0.73,Additional nutrients,LTER 1 Forereef Water Column,Falcon tube,4/19/2009,15:30,Pty cloudy; calm
-17.47785,-149.84213,2,0.5,0.16,0.32,0.06,0.74,Additional nutrients,LTER 1 Backreef Water Column,Falcon tube,4/19/2009,15:50,Pty cloudy; calm
-17.48488,-149.83365,14,0.5,0.19,0.88,0.09,0.79,Additional nutrients,LTER 1 Fringing Reef Water Column,Falcon tube,4/19/2009,16:00,Pty cloudy; calm
-17.47785,-149.84213,2,0.5,0.39,0.6,0.09,0.77,Additional nutrients,LTER 1 Backreef Water Column,Falcon tube,4/28/2009,16:30,slightly overcast
-17.48488,-149.83365,14,0.5,0.42,0.78,0.09,0.72,Additional nutrients,LTER 1 Fringing Reef Water Column,Falcon tube,4/28/2009,16:15,slightly overcast
-17.47503,-149.83707,17,0.5,0.13,0.52,0.03,0.39,Additional nutrients,LTER 1 Forereef Water Column,Falcon tube,4/28/2009,16:00,slightly overcast
-17.47503,-149.83707,17,0.5,0.13,0.74,0.07,0.41,Additional nutrients,LTER 1 Forereef Water Column,Falcon tube,5/5/2009,16:00,calm; sunny
-17.47785,-149.84213,2,0.5,0.17,0.6,0.11,0.61,Additional nutrients,LTER 1 Backreef Water Column,Falcon tube,5/5/2009,15:30,calm; sunny
-17.48488,-149.83365,14,0.5,0.17,0.85,0.12,0.68,Additional nutrients,LTER 1 Fringing Reef Water Column,Falcon tube,5/5/2009,16:30,calm; sunny
-17.47785,-149.84213,2,0.5,0.18,0.13,0.07,0.69,Additional nutrients,LTER 1 Backreef Water Column,Falcon tube,5/16/2009,16:30,overcast; calm
-17.47503,-149.83707,17,0.5,0.14,0.46,0.01,0.44,Additional nutrients,LTER 1 Forereef Water Column,Falcon tube,5/16/2009,16:00,overcast; calm
-17.48488,-149.83365,14,0.5,0.23,2.07,0.11,0.81,Additional nutrients,LTER 1 Fringing Reef Water Column,Falcon tube,5/16/2009,16:30,overcast; calm
-17.47785,-149.84213,2,0.5,0.13,0.33,0.05,0.52,Additional nutrients,LTER 1 Backreef Water Column,Falcon tube,6/1/2009,10:30,overcast; windy
-17.48488,-149.83365,14,0.5,0.14,0.27,0.07,0.55,Additional nutrients,LTER 1 Fringing Reef Water Column,Falcon tube,6/1/2009,11:30,overcast; windy
-17.47503,-149.83707,17,0.5,0.14,0.35,0.04,0.24,Additional nutrients,LTER 1 Forereef Water Column,Falcon tube,6/1/2009,11:15,overcast; windy
-17.48488,-149.83365,14,0.5,0.29,0.42,0.07,0.47,Additional nutrients,LTER 1 Fringing Reef Water Column,Falcon tube,6/6/2009,14:30,overcast; windy
-17.47785,-149.84213,2,0.5,0.17,0.36,0.07,0.41,Additional nutrients,LTER 1 Backreef Water Column,Falcon tube,6/6/2009,14:40,overcast; windy
-17.47503,-149.83707,17,0.5,0.12,0.36,0.02,0.31,Additional nutrients,LTER 1 Forereef Water Column,Falcon tube,6/6/2009,15:30,overcast; windy
-17.47503,-149.83707,17,0.5,0.14,0.35,0.06,0.35,Additional nutrients,LTER 1 Forereef Water Column,Falcon tube,6/22/2009,10:50,calm; sunny
-17.48488,-149.83365,14,0.5,0.17,0.29,0.06,0.72,Additional nutrients,LTER 1 Fringing Reef Water Column,Falcon tube,6/22/2009,11:10,calm; sunny
-17.47785,-149.84213,2,0.5,0.16,0.34,0.08,0.78,Additional nutrients,LTER 1 Backreef Water Column,Falcon tube,6/22/2009,11:50,calm; sunny; low swell
-17.47503,-149.83707,17,0.5,0.15,0.36,0.07,0.38,Additional nutrients,LTER 1 Forereef Water Column,Falcon tube,7/7/2009,12:10,calm; sunny; slight E-wind
-17.47785,-149.84213,2,0.5,0.17,0.31,0.07,0.55,Additional nutrients,LTER 1 Backreef Water Column,Falcon tube,7/7/2009,11:55,calm; sunny; slight E-wind
-17.48488,-149.83365,14,0.5,0.19,3.34,0.14,0.85,Additional nutrients,LTER 1 Fringing Reef Water Column,Falcon tube,7/7/2009,12:00,calm; sunny; slight E-wind
-17.47785,-149.84213,2,0.5,0.14,2.98,0.08,0.64,Additional nutrients,LTER 1 Backreef Water Column,Falcon tube,7/12/2009,16:00,clear; calm; no rain; 
-17.48488,-149.83365,14,0.5,0.2,3.77,0.08,0.58,Additional nutrients,LTER 1 Fringing Reef Water Column,Falcon tube,7/12/2009,16:40,clear; calm; no rain; 
-17.48488,-149.83365,14,0.5,0.16,0.85,0.13,0.91,Additional nutrients,LTER 1 Fringing Reef Water Column,Falcon tube,7/23/2009,9:45,na
-17.47785,-149.84213,2,0.5,0.15,0.78,0.13,0.8,Additional nutrients,LTER 1 Backreef Water Column,Falcon tube,7/24/2009,16:00,na
-17.47503,-149.83707,17,0.5,0.18,0.76,0.09,0.55,Additional nutrients,LTER 1 Forereef Water Column,Falcon tube,7/25/2009,8:00,na
-17.47785,-149.84213,2,1,0.19,0.48,0.07,0.75,LTER bi-annual,LTER 1 Backreef Water Column,Niskin bottle,7/27/2009,11:00,na
-17.48488,-149.83365,14,1,0.18,0.37,0.11,0.64,LTER bi-annual,LTER 1 Fringing Reef Water Column,Niskin bottle,7/27/2009,8:10,na
-17.47503,-149.83707,17,1,0.18,0.33,0.12,0.81,LTER bi-annual,LTER 1 Forereef Water Column,Niskin bottle,7/29/2009,10:02,na
-17.47503,-149.83707,17,0.5,0.17,0.56,0.11,0.39,Additional nutrients,LTER 1 Forereef Water Column,Falcon tube,8/4/2009,8:20,calm; no rain for several days
-17.47785,-149.84213,2,0.5,0.19,0.37,0.09,0.73,Additional nutrients,LTER 1 Backreef Water Column,Falcon tube,8/4/2009,8:50,calm; no rain for several days
-17.48488,-149.83365,14,0.5,0.2,0.37,0.07,0.57,Additional nutrients,LTER 1 Fringing Reef Water Column,Falcon tube,8/4/2009,9:30,calm; no rain for several days
-17.47503,-149.83707,17,0.5,0.11,1.06,0.03,0.06,Additional nutrients,LTER 1 Forereef Water Column,Falcon tube,9/10/2009,15:10,na
-17.48488,-149.83365,14,0.5,0.12,1.42,0.06,0.34,Additional nutrients,LTER 1 Fringing Reef Water Column,Falcon tube,9/10/2009,15:15,na
-17.47785,-149.84213,2,0.5,0.14,1,0.07,0.42,Additional nutrients,LTER 1 Backreef Water Column,Falcon tube,9/10/2009,15:20,na
-17.48488,-149.83365,14,0.5,0.14,0.9,0.09,0.37,Additional nutrients,LTER 1 Fringing Reef Water Column,Falcon tube,9/24/2009,12:28,na
-17.47503,-149.83707,17,0.5,0.14,0.87,0.06,0.25,Additional nutrients,LTER 1 Forereef Water Column,Falcon tube,9/24/2009,12:15,na
-17.47785,-149.84213,2,0.5,0.15,1.77,0.08,0.32,Additional nutrients,LTER 1 Backreef Water Column,Falcon tube,9/24/2009,12:22,may have screwed up locations
-17.47503,-149.83707,17,0.5,NA,NA,NA,NA,Additional nutrients,LTER 1 Forereef Water Column,Falcon tube,10/10/2009,13:51,na
-17.48488,-149.83365,14,0.5,0.14,1.45,0.25,0.42,Additional nutrients,LTER 1 Fringing Reef Water Column,Falcon tube,10/10/2009,13:36,na
-17.47785,-149.84213,2,0.5,0.14,0.77,0.18,0.31,Additional nutrients,LTER 1 Backreef Water Column,Falcon tube,10/10/2009,13:44,na
-17.47785,-149.84213,2,0.5,0.18,1.06,0.06,0.24,Additional nutrients,LTER 1 Backreef Water Column,Falcon tube,10/24/2009,15:25,na
-17.47503,-149.83707,17,0.5,0.15,1.49,0.05,0.21,Additional nutrients,LTER 1 Forereef Water Column,Falcon tube,10/24/2009,15:20,na
-17.48488,-149.83365,14,0.5,0.13,1.08,0.1,0.4,Additional nutrients,LTER 1 Fringing Reef Water Column,Falcon tube,10/24/2009,15:30,na
-17.47785,-149.84213,2,0.5,0.15,0.88,0.56,0.89,Additional nutrients,LTER 1 Backreef Water Column,Falcon tube,11/26/2009,14:20,na
-17.47503,-149.83707,17,0.5,0.13,1,0.16,0.23,Additional nutrients,LTER 1 Forereef Water Column,Falcon tube,11/26/2009,14:10,na
-17.48488,-149.83365,14,0.5,0.14,1.31,0.08,0.33,Additional nutrients,LTER 1 Fringing Reef Water Column,Falcon tube,11/26/2009,14:24,na
-17.47503,-149.83707,17,0.5,0.15,1.44,0.01,0.01,Additional nutrients,LTER 1 Forereef Water Column,Falcon tube,12/12/2009,10:35,na
-17.47785,-149.84213,2,0.5,0.14,0.99,0.05,0.15,Additional nutrients,LTER 1 Backreef Water Column,Falcon tube,12/12/2009,10:45,na
-17.48488,-149.83365,14,0.5,0.12,0.82,0.15,0.28,Additional nutrients,LTER 1 Fringing Reef Water Column,Falcon tube,12/12/2009,10:50,na
-17.47503,-149.83707,17,1,0.24,0.87,0.22,0.6,LTER bi-annual,LTER 1 Forereef Water Column,Niskin bottle,1/15/2010,11:00,na
-17.47785,-149.84213,2,1,0.24,0.73,0.2,0.78,LTER bi-annual,LTER 1 Backreef Water Column,Niskin bottle,1/18/2010,11:05,na
-17.48488,-149.83365,14,1,0.25,0.83,0.21,1.11,LTER bi-annual,LTER 1 Fringing Reef Water Column,Niskin bottle,1/18/2010,8:30,na
-17.47785,-149.84213,2,0.5,0.17,0.88,0.04,0.27,Additional nutrients,LTER 1 Backreef Water Column,Falcon tube,7/15/2010,11:20,10 kt winds; some rain night prior
-17.48488,-149.83365,14,0.5,0.18,0.98,0.07,0.44,Additional nutrients,LTER 1 Fringing Reef Water Column,Falcon tube,7/15/2010,11:25,10 kt winds; some rain night prior
-17.47785,-149.84213,2,0.5,0.2,0.89,0.07,0.36,Additional nutrients,LTER 1 Backreef Water Column,Falcon tube,7/28/2010,14:54,na
-17.48488,-149.83365,14,0.5,0.18,1.01,0.07,0.42,Additional nutrients,LTER 1 Fringing Reef Water Column,Falcon tube,7/28/2010,15:00,na
-17.47503,-149.83707,17,0.5,0.15,0.97,0.03,0.11,Additional nutrients,LTER 1 Forereef Water Column,Falcon tube,7/29/2010,16:00,na
-17.47503,-149.83707,17,0.5,0.14,0.96,0.05,0.07,Additional nutrients,LTER 1 Forereef Water Column,Falcon tube,8/6/2010,12:15,na
-17.47785,-149.84213,2,0.5,0.18,0.88,0.08,0.55,Additional nutrients,LTER 1 Backreef Water Column,Falcon tube,8/7/2010,16:38,rain earlier that day
-17.48488,-149.83365,14,0.5,0.18,2.05,0.1,0.63,Additional nutrients,LTER 1 Fringing Reef Water Column,Falcon tube,8/7/2010,16:41,rain earlier that day
-17.47503,-149.83707,17,1,0.15,0.86,0.06,0.15,LTER bi-annual,LTER 1 Forereef Water Column,Niskin bottle,8/15/2010,9:50,na
-17.47785,-149.84213,2,1,0.15,0.83,0.13,0.5,LTER bi-annual,LTER 1 Backreef Water Column,Niskin bottle,8/17/2010,9:50,na
-17.48488,-149.83365,14,1,0.17,0.83,0.1,0.52,LTER bi-annual,LTER 1 Fringing Reef Water Column,Niskin bottle,8/17/2010,8:02,na
-17.47503,-149.83707,17,0.5,0.13,0.79,0.04,0.12,Additional nutrients,LTER 1 Forereef Water Column,Falcon tube,8/29/2010,10:30,calm; sunny; no rain for 2 weeks prior
-17.47785,-149.84213,2,0.5,0.17,0.92,0.02,0.3,Additional nutrients,LTER 1 Backreef Water Column,Falcon tube,8/29/2010,11:15,calm; sunny; no rain for 2 weeks prior
-17.48488,-149.83365,14,0.5,0.13,0.49,0.1,0.31,Additional nutrients,LTER 1 Fringing Reef Water Column,Falcon tube,8/29/2010,11:10,calm; sunny; no rain for 2 weeks prior
-17.47556667,-149.8393167,1,0,0.08,NA,0.12,0.25,Additional nutrients,LTER 1 Forereef Water Column,Niskin bottle,9/9/2010,15:28,NA
-17.47581667,-149.83915,1,0,0.09,NA,0.03,0.26,Additional nutrients,LTER 1 Forereef Water Column,Niskin bottle,9/9/2010,15:33,NA
-17.4768,-149.8393333,1,0,0.1,NA,0.07,0.36,Additional nutrients,LTER 1 Backreef Water Column,Niskin bottle,9/9/2010,16:09,NA
-17.47796667,-149.8392833,1,0,0.1,NA,0.09,0.5,Additional nutrients,LTER 1 Backreef Water Column,Niskin bottle,9/9/2010,16:19,NA
-17.47928333,-149.8393167,1,0,0.09,NA,0.07,0.51,Additional nutrients,LTER 1 Backreef Water Column,Niskin bottle,9/9/2010,16:25,NA
-17.48055,-149.8393667,1,0,0.1,NA,0.07,0.58,Additional nutrients,LTER 1 Backreef Water Column,Niskin bottle,9/9/2010,16:31,NA
-17.48178333,-149.8393667,1,0,0.09,NA,0.06,0.45,Additional nutrients,LTER 1 Backreef Water Column,Niskin bottle,9/9/2010,16:35,NA
-17.47425,-149.8393,24,0,0.09,NA,0.07,0.3,Additional nutrients,LTER 1 Forereef Water Column,Niskin bottle,9/10/2010,12:36,NA
-17.4756,-149.8392667,5,0,0.08,NA,0.06,0.28,Additional nutrients,LTER 1 Forereef Water Column,Niskin bottle,9/10/2010,12:45,NA
-17.4782,-149.8464833,5,0,0.09,NA,0.1,0.32,Additional nutrients,LTER 1 Forereef Water Column,Niskin bottle,9/10/2010,12:53,NA
-17.47673333,-149.8465,20,0,0.08,NA,0.07,0.19,Additional nutrients,LTER 1 Forereef Water Column,Niskin bottle,9/10/2010,12:56,NA
-17.4742,-149.8320833,43,0,0.07,NA,0.04,0.19,Additional nutrients,LTER 1 Forereef Water Column,Niskin bottle,9/10/2010,13:32,NA
-17.47548333,-149.8320667,10,0,0.08,NA,0.07,0.22,Additional nutrients,LTER 1 Forereef Water Column,Niskin bottle,9/10/2010,13:35,NA
-17.47686667,-149.8319667,3,0,0.09,NA,0.07,0.26,Additional nutrients,LTER 1 Forereef Water Column,Niskin bottle,9/10/2010,13:40,NA
-17.47688333,-149.8393667,1,0,0.09,NA,0.08,0.76,Additional nutrients,LTER 1 Backreef Water Column,Niskin bottle,9/10/2010,16:18,NA
-17.47805,-149.8393167,1,0,0.09,NA,0.1,0.54,Additional nutrients,LTER 1 Backreef Water Column,Niskin bottle,9/10/2010,16:31,NA
-17.4793,-149.8393167,1,0,0.09,NA,0.09,0.56,Additional nutrients,LTER 1 Backreef Water Column,Niskin bottle,9/10/2010,6:44,NA
-17.48056667,-149.8394167,1,0,0.09,NA,0.11,0.38,Additional nutrients,LTER 1 Backreef Water Column,Niskin bottle,9/10/2010,16:55,NA
